date,site,latitude,longitude,co,nox,no2,o3,so2,pm10,pm25
2023-08-09 15:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,117.42992,63.59521,,,45.411,
2017-12-08 17:00:00,Blackburn Accrington Road,53.747763,-2.45268,,24.67069,12.77471,,,,
2017-12-11 22:00:00,Barnsley Gawber,53.56292,-1.510436,,6.60784,5.9908,48.79487,0.77339,,
2021-12-08 17:00:00,Belfast Centre,54.59965,-5.928833,0.044342,16.47109,10.88171,43.85551,0.81656,14.925,6.368
2019-05-10 02:00:00,Birmingham A4540 Roadside,52.476145,-1.874978,,10.94875,7.0134,43.55615,,10.65,5.613
2023-11-04 04:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,28.64371,17.57627,,,,
2021-05-11 06:00:00,Birkenhead Borough Road,53.388624,-3.024942,,80.90718,38.09258,,,,
2017-04-09 22:00:00,Billingham,54.60537,-1.275039,,6.97484,6.48239,,,,
2021-01-12 20:00:00,Birmingham Ladywood,52.481346,-1.918235,,26.77767,23.99895,38.96754,0.26014,5.725,3.208
2019-11-11 01:00:00,Belfast Centre,54.59965,-5.928833,0.053439,,,55.48046,,6.675,4.104
2016-11-09 21:00:00,Aston Hill,52.50385,-3.034178,,2.55558,2.13483,60.17036,,,
2023-10-09 19:00:00,Billingham,54.60537,-1.275039,,14.41555,12.36091,,,,
2017-05-06 23:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,46.06973,30.72097,,,,
2020-11-05 20:00:00,Blackburn Accrington Road,53.747763,-2.45268,,24.90355,19.3299,,,,
2020-04-02 00:00:00,Blackburn Accrington Road,53.747763,-2.45268,,3.36556,2.52852,,,,
2020-05-03 20:00:00,Aston Hill,52.50385,-3.034178,,16.72236,16.13029,55.13121,,,
2022-02-10 03:00:00,Billingham,54.60537,-1.275039,,3.98013,3.39359,,,,
2021-10-04 11:00:00,Billingham,54.60537,-1.275039,,5.13419,3.30181,,,,
2019-11-02 19:00:00,Billingham,54.60537,-1.275039,,109.68871,67.68346,,,,
2016-06-06 09:00:00,Aston Hill,52.50385,-3.034178,,7.43628,5.83647,75.03832,,,
2015-06-03 00:00:00,Armagh Roadside,54.353728,-6.654558,,10.33706,6.25388,,,16.6,
2016-08-04 03:00:00,Aston Hill,52.50385,-3.034178,,1.90103,1.40378,72.88097,,,
2021-09-10 01:00:00,Barnsley Gawber,53.56292,-1.510436,,29.54997,17.84991,1.79613,1.23128,,
2021-06-12 04:00:00,Bath A4 Roadside,51.390922,-2.35503,,22.80884,14.28507,,,,
2017-04-10 02:00:00,Birmingham A4540 Roadside,52.476145,-1.874978,,14.5185,10.00997,47.29809,,6.675,3.443
2020-03-05 19:00:00,Aston Hill,52.50385,-3.034178,,8.21246,7.41376,76.83445,,,
2019-05-07 20:00:00,Aston Hill,52.50385,-3.034178,,2.29059,1.85034,52.08777,,,
2022-02-07 03:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,7.27923,5.61507,,,,
2022-09-10 08:00:00,Aston Hill,52.50385,-3.034178,,4.13245,3.34635,42.70798,,,
2022-07-12 16:00:00,Belfast Centre,54.59965,-5.928833,0.105092,45.44435,38.08485,22.53006,0.59147,11.45,7.877
2016-12-09 14:00:00,Birkenhead Borough Road,53.388624,-3.024942,,15.27514,9.55772,,,,
2023-10-07 08:00:00,Birmingham Ladywood,52.481346,-1.918235,,9.945,7.50656,61.31788,0.55679,10.925,5.047
2022-12-03 18:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,38.0533,21.59473,,,9.662,
2017-08-04 13:00:00,Belfast Centre,54.59965,-5.928833,0.045695,19.40948,12.49771,80.92564,2.05821,,15.2
2022-02-02 07:00:00,Armagh Roadside,54.353728,-6.654558,,82.06724,35.7917,,,31.885,
2016-07-07 19:00:00,Armagh Roadside,54.353728,-6.654558,,43.71593,25.10061,,,11.2,
